,descriptions
2060,EMBEZZLE OF PROP BY BAILEE/TENANT/LODGER
2061,ACQUIRE ACCESS CARD KNOWN TO BE LOST
2062,PRESENT REGISTRATION TO OFFICER
2063,SEXUAL BATT ON MED INSTITUTIONAL VICTIM
2064,DUI/BOAT OR WATERCRAFT
2065,ILLEGAL ACT AS LIC REGISTRATION SERVICE
2066,RECALL OF COMMITMENT & RESENTENCE
2067,DESTRUCTIVE DEVICE NEAR ANY PUBLIC PLACE
2068,CONSPIRACY TO COMMIT A CRIME
2069,"LOUD/UNREA NOISE,COLLEGE/UNIVERSITY/SCHL"
2070,THREATEN CERTAIN STATE OFFICIALS/JUDGES
2071,OBTAIN WORKER COMP UBS AT LOWER RATE
2072,KIDNAPPING VICTIM UNDER 14 YRS OF AGE
2073,FALSE STATEMENT/IMMIGRATION MATTER
2074,KNOWING USE PERSONAL ID INFO TO COMIT VIOL
2075,POSS COUNTERFEIT/FORGED/ALTER FARE MEDIA
2076,POSS VEH FOR SALE W/KNOWLEDG OF ALTER IDS
2077,MAINTAIN SUBSTND BLDG
2078,PREVENT ENTRY UPON PUBLIC LANDS
2079,KNOWINGLY USE PERSONAL ID INFO TO COM VIOL
2080,EL MONTE MUNICIPAL CODE
2081,MAKE LEFT/U-TURN OVER CENTER DIVIDER
2082,CARRY LOADED F/ARM W/INT COMMIT FELONY
2083,BATT PRSN:PUB TRANSP/ETC
2084,FIGHT/ETC IN PUBILC PLACE
2085,BIRDS/MAMMALS POSSESS OPEN SEAS
2086,DESTRUCTIVE DEVICE NEAR PASSENGER VESSEL
2087,ATTEMPT DISRUPTIVE ENTRY OF SCHOOL
2088,ATTEMPT POSSESS CONTROLLED SUBSTANCE
2089,MFG/SELL ID SIMILAR TO DRIVER'S LICENSE
2090,POSS SUBS W/INTENT MFG METHAMPHETAMINE
2091,COMMERCE MUNICIPAL CODE
2092,OPERATE/ETC GAMBLING W/O LICENSE
2093,ADULT SELL/ETC CNTL SUB/NARCOTIC TO MI
2094,MFG/SELL/ETC ADULTERATED DRUG/DEVICE
2095,CONSPIRE TO MFG CONTROLLED SUBS
2096,PENETRATN OF VICT < 14:SUSPECT 10YR OLDR
2097,BAILEE TAMPER W/VEHICLE
2098,ATTEMPT INFLICT INJURY ON CHILD
2099,DRIVE W/SUSP/REV LIC W/INJURY COLLISION
2100,OBTAIN MONEY BY FALSE PRETENSES
2101,ATTEMPT TO RESIST ARREST POLICE OFFICER
2102,POSSESS W/INTENT TO USE VEH MASTER KEY
2103,LICENSE TAG OBTAINED BY FRAUD
2104,GILL TRAMMET NETS/COMMERCIAL PURPOSES
2105,ATTEMPT - BRING STOLEN PROP INTO STATE
2106,MFG/SELL/GIVE/POSS ETC UNRECOGNIZE F/ARM
2107,IMPERSONATE STATE DEPUTY/ETC
2108,CONSPIRACY - THEFT OF PROPERTY
2109,AZUSA MUNICIPAL CODE
2110,MAKE FALSE RETURN/ETC PERJURY DECLARATION
2111,THEFT/DESTRUCT/FALSIF/GOV'T PROPERTY
2112,REAFFIRM FALSE FINANCIAL STATEMENT
2113,ISSUE FALSE/FICTITIOUS PRESCRIPTION
2114,ALTER MEDICAL RECORD W/FRAUDULENT INTENT
2115,AGGRAVATED SEXUAL ASSLT/CHILD - SODOMY
2116,FAIL TO DISCLOSE ORIGIN OF RECORDINGS
2117,CONSP:COMMIT ACT INJ PUB/OBSTRUCT JUSTICE
2118,ORAL COP:ACTING IN CONCERT W/FORCE
2119,ATTEMPTED AGGRAVATED ARSON
2120,IMMORAL ACTS BEFORE CHILD
2121,PERMIT ANIMAL TO GO WITHOUT CARE
2122,FAIL TO PASS TO LEFT SAFELY
2123,VEH MANSLAUGHTER DUI W/O GROSS NEGLIGENCE
2124,USE OTHER'S NAME/LETTER TO NEWSPAPER
2125,URGE VISIT TO PLACE OF GAMBLE/PROSTITUTN
2126,PREP WRITING W/INTENT SUPPORT FALSE CLAIM
2127,FALSE/FRAUD STATEMT TO DISCOURAGE CLAIM
2128,THROW SUBSTANCE AT OFF-HWY VEHICLE
2129,MISUSE OF DISABLED PERSON'S PLACARD
2130,MFG/POSSESSETC RIFLE/SHORT-BARREL SHOTGUN
2131,SELL/ETC DRUG PARAPHERNALIA TO UNDER 18
2132,FAIL 2 POSS COMMERCIAL FISHING LICENSE
2133,DUI W/PRIOR SPECIFIC CONVICTIONS
2134,ATTEMPT -DEFRAUD INNKEEPER NONPAYMT <$400
2135,ATTEMPT ORAL COPULATION
2136,COMM/MENTAL INSANE TO STAND TRIAL
2137,DISTR/EXHIBIT OBSCENE MATR DEPICT MINR<18
2138,PROCURE CHILD UNDER 16 FOR LEWD ACTS
2139,TRESPASS POSTED LAND/PAMPER WITH LOCK
2140,ILL POSS/ETC CONC FIREARM
2141,INCEST
2142,COMMUNICATION W/REFORMATORY INMATE
2143,ATTEMPT - HIT AND RUN PROPERTY DAMAGE
2144,RECKLESS DRIVING/BODILY INJURY
2145,"ATTEMPT GRAND THEFT, MISCELLANEOUS"
2146,ATTEMPT - LARCENY
2147,UNLAWFUL PROCUREMENT OF MED DIPLOMA/CERT
2148,DUI WITH PRIOR CONVICTIONS
2149,U-TURN IN RESIDENTIAL DISTRICT
2150,SPEED CONTEST/BODILY INJURY
2151,DUMP/ETC WASTE IN COMMERCIAL QUANTITIES
2152,JUNK DEALER RECEIVING WIRE/METAL
2153,ATTEMPT - AGGRAVATED MAYHEM
2154,COMMUNICATE W/PRISONER W/O CONSENT
2155,EVADE TAXES ON CIGARETTES/ETC
2156,ATT POSS CNTL SUB W/SP PR
2157,HAZARDOUS MATERIAL/FAIL TO COMPLY
2158,CONSPIRE TO COMMIT GRAND THEFT
2159,NONINMATE SELL/ETC CNTL SUB TO PERSN JAIL
2160,FORGERY EXCEEDING $950 IN VALUE
2161,KIDNAPPING TO COMMIT ROBBERY
2162,BATTERY
2163,SPEED CONTEST HWY CAUSING SPECIFD INJURY
2164,ELDER ADULT NEGLECT/ABUSE
2165,VIOLENCE USED AGAINST FORMER SPOUSE
2166,MFG/SELL/POSS ETC UNDETECTABLE FIREARM
2167,CHANGE LANES/LANED ROADWAY WHEN SAFE
2168,DIVERSION OF FUNDS FOR SERVICE/LABOR/ETC
2169,ATTEMPT POSSESSION CONTROLLED SUBSTANCE
2170,POSS CONTROLLED SUBSTANCE PARAPENALIA
2171,FAIL TO PROVIDE TRUE REGISTRATION INFO
2172,ATTEMPT - SELL SUBS IN LIEU OF CNTL SUBS
2173,TORTURE/MAIM/ETC MAMMAL/BIRD/FISH/ETC
2174,"FORGERY CHECK/BON, ETC NOT > $950"
2175,ADW PO/FIRE-FTR W/MACH GUN/ASLT WEAPON
2176,HIT AND RUN BOAT ACCIDENT
2177,PRESENT FLS CLAIM FOR PAY
2178,PAIN/SUFF W/O GBI/DEATH ELDR/DEPENDT ADLT
2179,"FURN MINOR SCH III,IV,V C/SUBS USE/TRANSP"
2180,ILL IMPORT/ETC F/ARM AMMO
2181,DRUG OFFENDER REMAIN IN SCHOOL ZONE
2182,AMMUNITION POSS BY ENJOINED GANG MEMBER
2183,EMBEZZLEMENT BY PO FOR PERSONAL USE
2184,PETTY THEFT WITH SPECIFIED PRIOR CONVCTN
2185,DISPLAY FALSE LICENSE PLATE ON VEHICLE
2186,POSSESS NARCOTIS W/O PRESCRIPTION
2187,ATTEMPTED SODOMY
2188,ATTEMPT - FORGERY
2189,ARREST/DETAIN W/O AUTHORITY
2190,MFG/SELL/GIVE/LEND POSS AMMO/FLCHTTE/DART
2191,FALSIFY DISABLED PERSON PLACARD
2192,RESCUE PRISONR CONVICT NON-CAPITL OFFENSE
2193,ESCAPE JAIL:CHARGED WITH FEL:FORCE/VIOL
2194,CARRY LOADED FIREARM: SPECIAL PRS
2195,PREP WRITING W/INTENT PRESENT FALSE CLAIM
2196,MFG/SELL VEH MASTER KEY UNLAWFULLY
2197,PEDESTRIAN FAIL TO OBEY SIGN/SIGNAL
2198,VIOL OSS WK/STU IN CA
2199,STEAL/REC/ETS U.SL $ PROPERTY
2200,FILE FALSE TAX RETURN
2201,DISTRIBUTE IMAGE W/INTENT CAUSE DISTRESS
2202,RECKLESS DRIVING HWY BODILY INJ PRIOR CON
2203,VIOLATE COPYRIGHTS
2204,PRACTICE VETERINARY MEDICINE W/O LICENSE
2205,RIOT PARTICIPATION
2206,ATTEMPT REMOVE WEAPON FROM POLICE OFFICER
2207,POSSESS/ETC NONCONFORMING PRESCRIPTION
2208,SPEED CONTEST W/IN 5 YRS AFTER PRIOR OFFN
2209,OWNER/ETC ALLOW UND 18 VIEW DRUG PARAPH
2210,MAINTAINING/OCCUPYING A BOOKMAKING PLACE
2211,OFFER FALSE EVIDENCE
2212,REMOVE/CONCEAL CHILD SUBJECT TO ADOPTION
2213,PERJURY
2214,OPER VEH WITH IMMEDIATE SAFETY HAZZARD
2215,ATTEMPT GRAND THEFT
2216,UNQUALIFIED SALE OF SECURITIES
2217,SOLICITATION TO COMMIT SEXUAL ASSAULT
2218,SELL A DANGEROUS DRUG
2219,CONSPIRE:AKE STATEMENT: CLAIM
2220,DISOBEY FIREMAN/PUBLIC OFFICER
2221,EXHIBIT/DRAW FIREARM PRESENCE RESERVE PO
2222,TAKE WATER FR CANAL/ETC FOR MANUFACT/ETC
2223,PERMIT ILLEGAL GAMBLING EQUIPMENT
2224,PROVIDE ADDICT CONTROLLED SUBSTANCE
2225,HIRE/EMPLOY MINR TO DISTR OBSCENE MATTER
2226,LYNWOOD MUNICIPAL CODE
2227,UNAUTHORIZED SELLING/PEDDLING AT AIRPORT
2228,ATTEMPT - ROBBERY OF COMMON CARRIER
2229,ASSEMBLE/MAINTAIN/PLACE BOOBYTRAP DEVICE
2230,MATERIAL WITNESS/CIVIL CONTEMPT
2231,ATTEMPTED TORTURE
2232,UNLAWFUL WRITE/ETC NONCONFORM PRESCRIPTN
2233,FAIL MAINT RECORD SALE OF LOCK PICK/ETC
2234,ESCAPE JAIL WHIL CHARGE W/FEL:FORCE/VIOL
2235,MNR REMOVE ELECT MONITOR
2236,UNAUTHORIZED RETRIEVAL OF SHOPPING CART
2237,ATTEMPT TERRORIST THREATS
2238,GRAND THEFT CARCASS PORTION
2239,ATTEMPT TOUCH INTIMATE PARTS OF ANOTHER
2240,RENT VEH:PER W/IGNITN INTERLOCK DEV RESTR
2241,DRIVE/RIDE/ETC ALONG RAILROAD TRACK
2242,MFGR/IMPORTER/ETC FAIL TO COMPLY W/REGLTS
2243,FORGERY EXCEEDING $950 CHECK/BOND ETC
2244,UNLAWFUL SALE/ETC OF FIREARM TO MINOR
2245,REAREST: ELEC MONITOR PROB
2246,STEAL ANY ANIMAL FOR MED/COMMERCIAL USE
2247,TAKE A BICYCLE WITHOUT OWNERS PERMISSION
2248,BELL GARDENS MUNICIPAL CODE
2249,ALTER/CHANGE VEHICLE ID NUMBER
2250,SOLICIT/ACCEPT FALSE CLAIM AGAINSE INSUR
2251,"UNAUTHORIZED COMPUTER ACCESS/OVER $5,000"
2252,BATTERY ON PERSON WITH INJURY
2253,PANDERING BY REC/GIVE VALUE
2254,PROCURE ANOTHER TO FRAUD CONVEY PROPERTY
2255,ATTEMPT MAKE/POSS/UTTER FICTITIOUS INSTRMT
2256,SOLICIT/ACCEPT FALS CLAIM AGAINST INSURER
2257,REMOVE/TAKE FIREARM FROM PEACE OFFICER
2258,COMMERCIAL VEHICLE SPEEDING
2259,ATTEMPT ARSON STRUCTURE OR FOREST LAND
2260,ATTEMPT - ORAL COPULATION ACT IN CONCERT
2261,TRANSPORTATION OF CONTROLLED SUBSTANCE
2262,TAMPER/ETC WITH IGNITION INTERLOCK DEVICE
2263,CONSPIRACY TO FALSELY CHARGE/ARREST
2264,UNLAWFUL USE OF LICENSE
2265,FRAUD USE OF COMPUTER TO OBT $/PROP/DATA
2266,POSSESSION OF MARIJUANA IN SCHOOL
2267,ACCEPT WAGER/HOLD BETS
2268,POSS DEADLY WEAPON W/INT COMMIT ASSAULT
2269,ATTEMPT UNLAWFUL SEX W/MINOR FEMALE
2270,FAIL TO KEEP REQUIRED RECORDS
2271,BENEFIT BY FALSE FINANCIAL STATEMENT
2272,PROT CUST/ENDANGER SIBLINGS/UNFIT HOME****
2273,USE DESTRUCTIVE DEVICE CAUSING GBI
2274,"FORGERY CHECK/BOND, ETC NOT > $950"
2275,CONTRACTING W/O LIC DURING EMERGENCY
2276,SEXUAL MISCONDUCT
2277,PICO RIVERA MUNICIPAL CODE
2278,FAIL TO OBEY FIREMAN
2279,DRIVE IN EXCESS OF 100 MPH
2280,NONSUFFICIENT FUNDS CHECKS LESS THAN $950
2281,FALSE CERTIFICATION OF MEDICAL CONDITION
2282,FAIL CORRECT OR DELIVER CORRECTN OF VIOL
2283,EXHIBIT FIREARM WITH GREAT BODILY INJ
2284,ESCAPE JAIL/ETC CHG W/MISD-FORCE/VIOL
2285,BRIBE PO AMOUNTING TO GRAND THEFT
2286,DESTRUCTIVE DEVICE NEAR CERTAIN PLACES
2287,UNLAWFULLY DISTURB FUNERAL SERVICE
2288,SODOMY W/THREAT TO RETALIATE
2289,UNLAWFULLY ADVERTISE AS CONTRACTOR
2290,ATTEMPT CRIME W/GREAT BODILY HARM
2291,ORAL COP:IN CONCERT/VICT INCAP OF CONSENT
2292,KEEP CLIENT'S ORIGINAL DOCUMENT
2293,EXCEED ALLOWABLE WEIGHT
2294,UNAUTHORIZED USE/POSS/ETC OF FOOD STAMPS
2295,MILK CONTAINER IN TEMP>45 DEGREES
2296,ATTORNEY UNLAWFUL PRACTICE/ADVERTISE LAW
2297,COUNTERFEITING GOLD/SILVER COINS/BARS/ETC
2298,RECKLESS DRIVING OFF-HWY VEHICLE
2299,ATTEMPT INFLICT BOD HARM/DEATH ADLT ELDER
2300,DAMAGE/ETC PROPERTY TO VIOL CIVEL RIGHTS
2301,FIRE AREA/OPRTE VEH S/IN 300'
2302,POSSESS < 3 COUNTERFEIT PRESCRIPTN BLANK
2303,TAKE FISH/WILDLIFE OUT OF ESTABLISH SEASON
2304,ATTEMPT USE/UNDER INFLUENCE OF CNTL SUBS
2305,UNLAW SHIPMENTS:SHIPS/ETC
2306,PROCURE PERSON FROM PROSTITUTION
2307,DUMP ROCK:PUB:COMERCL AMT
2308,VIOLATION OF POSTED CONDITIONS FOR USE
2309,COVINA MUNICIPAL CODE
2310,OPERATE WITH SUSPENDED PERMIT
2311,POSSESS SPECIFIC WEAPON ON SCHOOL GROUNDS
2312,BRING DRUGS INTO PRISON
2313,DRIVE/TAKE VEH W/O CONSENT AFTR PRIOR CON
2314,POS C/SUB W/O PRESCRP/ETC
2315,ATTEMPT TAMPERING W/VEHICLE
2316,FILE WITH LABOR COMMISSION
2317,ATTEMPT GENITAL/ANAL PENETRATION
2318,OBTAIN SIGNATURE BY THREAT
2319,RECKLESS CAUSE FIRE INHABIT STRUCTUR/PROP
2320,ATTEMPT POSS OF FALSE REGISTRATION
2321,COMMISSION OF CRIME WHILE ARMED
2322,ATTEMPT - SODOMY: ACT IN CONCERT W/FORCE
2323,POSSESS/MFG/DISPOSE OF FIREBOMB
2324,ATTEMPT DRUNK DRIVING
2325,SELL/SUPPLY FIREARMS TO CONVICTED FELON
2326,INTERF W/FLIGHT CREW/ETC
2327,POSS EPHEDRINE/ETC:INT MFG METHAMPHETAMIN
2328,INCITE RIOT ST PRISON/CO JAIL W/GBI
2329,SIDWLK/FAIL TO YIELD TO PEDEST
2330,DAMAGE/INJURE AIRCRAFT
2331,BRING/POSS KNIFE IN CRTRM/CRTHSE/CRT BLDG
2332,ASSAULT ON PUBLIC OFFICIALS
2333,VIOL PROTECTIVE ORDER W/PRIOR
2334,CARRY UNLOADED F/ARM THAT IS NOT HANDGUN
2335,SEX OFFENDER REGISTRATION VIOLATION
2336,ATTEMPT-ROBBERY W/IN PUBLC VEH-1ST DEGREE
2337,SALE/TRANSPORT MARIJUANA W/PRIORS
2338,SALE/TRANSPORT MARIJUANA TO A MINOR
2339,INDUSTRY MUNICIPAL CODE
2340,LEAVE PRIVATE RR CROSSING GATES OPEN
2341,DRIVING W/KNOWLEDGE OF LIC RESTRICTIONS
2342,ATTEMPT TO DEFACE PROPERTY
2343,ASSIST/SOLICIT/ETC INSURANCE FRAUD
2344,FALSE VOTER REGISTRATION
2345,GIV DANG DRUG/ETC:NO PRSC
2346,DRIVE RESTRICT DUI W/IN 5 YEARS PRIOR OFF
2347,ATTEMPT -THEFT: APPROPRIATE LOST PROPERTY
2348,ATTEMPTED ROBBERY - 2ND DEGREE
2349,ASSAULT ON TRANSPORTATN PERSONEL/PASSENGR
2350,POSS FOR SALE OF MARIJUANA TO A MINOR
2351,CONSPIRE TO ASSAULT WITH FIREARM
2352,ATTEMPT - FALSE ID TO PEACE OFFICER
2353,OBSCENE MATERIAL: MINOR SEX SADISM
2354,ATTEMPT REFUSE TO LEAVE PRIVATE PROPERTY
2355,UNLAWFULLY OPERATE A BOAT
2356,ATTEMPT - BURGLARY 1ST DEGREE
2357,BATTERY PERSON NOT INMATE WHILE IN CUST
2358,USE/POSSESS SYNTHETIC CANNABIS
2359,ATTEMPT CARETAKER COMMIT LEWD ACT
2360,CIRCULATE INTIATIVE/PETITION/FALSE NAMES
2361,RECKLESS STORE/TREAT/ETC HAZ WASTE
2362,DISPLAY/POSS/ETC FIREARMS KNIVES WEAPONS
2363,FAIL TO OBEY TRAFFIC SIGNS/SIGNALS
2364,POSSESS MARIJUANA FOR SALE UNDER AGE 18
2365,TRANSFER PROB SUPV/COURT JURISDICTION
2366,TRANSP <1000ART OF RECORD LIVE PERFORMANC
2367,BATTERY ON TRANSPORTATION WORKER
2368,FILE FALSE DOCUMENT/COUNTY RECORD
2369,STEAL WATER
2370,POSS LOADED FIREARM UNDER INFLUENCE C/SUB
2371,ORAL COP:VICTIM UNCONSCIOUS/ASLEEP
